"","indivs","matches","mismatches","perc","hetmatch","hetmism","perchet"
"1","APCL_14126L1321, APCL_14126L1701",242,8,3.2,82,8,8.9
"2","APCL_13333L0357, APCL_13333L1721",253,12,4.5,71,12,14
"3","APCL_13565L0670, APCL_13565L1735",251,14,5.3,68,14,17
"4","APCL_14049L0726, APCL_14049L1740",251,14,5.3,70,14,17
"5","APCL_13584L0677, APCL_13584L1736",249,14,5.3,74,14,16
"6","APCL_14255L0737, APCL_14255L1742",247,15,5.7,77,15,16
"7","APCL_14452L0744, APCL_14452L1754",239,14,5.5,71,13,15
"8","APCL_14425L1343, APCL_14425L1729",237,16,6.3,63,16,20
"9","APCL_13651L0980, APCL_13651L1725",247,18,6.8,67,18,21
"10","APCL_13207L0444, APCL_13207L1024",191,15,7.3,56,14,20
"11","APCL_13087L0423, APCL_13087L1719",245,20,7.5,70,20,22
"12","APCL_13130L0432, APCL_13130L1720",243,22,8.3,78,22,22
"13","APCL_13587L0678, APCL_13587L1737",245,20,7.5,82,20,20
"14","APCL_14310L0597, APCL_14310L1748",242,20,7.6,68,20,23
"15","APCL_14424L1342, APCL_14424L1747",243,21,8,71,21,23
"16","APCL_14006L0722, APCL_14006L1738",240,25,9.4,87,25,22
"17","APCL_14032L0947, APCL_14032L1739",235,26,10,71,26,27
"18","APCL_14423L1341, APCL_14423L1746",236,27,10,67,26,28
"19","APCL_13082L1060, APCL_13082L1688",191,23,11,44,23,34
"20","APCL_13057L1040, APCL_13057L1718",228,28,11,74,27,27
"21","APCL_14557L1350, APCL_14557L1717",152,26,15,41,26,39
